Name,Lstar,Mstar,Radius,Width,sblow,smin,smin_ep,smin_em,q,q_ep,q_em,Md,Md_ep,Md_em
HD216956C,0.004889969003731807,0.21867631390619743,26.4,8.6,0.0003719938835108102,10.88170881962436,2.769400880528499,3.8099812557508574,3.932802621724873,0.3208463446211729,0.20094830470696667,0.0018860700652466537,0.0003454049018516447,0.000391206530895189
GJ581,0.012021178920370261,0.28275705261325695,25.3,18.6,0.001182465437057171,2.87967090980318,1.5252900941011442,1.513740547403883,3.5,0.0,0.0,0.0006645882380067569,9.549529999120963e-05,6.864255571589187e-05
GJ3760,0.048593,0.42143960506563466,59.5,34.3,0.0071242148208604935,7.4951463414123864,1.3445545425346168,3.6953539238308255,3.5,0.0,0.0,0.013643579370272193,0.004898333244082892,0.0018063765840736663
HD197481,0.09618056612117368,0.5122164508356412,34.9,12.4,0.017138341792183917,0.12848285309048968,0.6371031871344037,0.10467837283774051,3.050621709992261,0.05153402250331407,0.05477345724106453,0.0066583151419987085,0.002006706854864887,0.0014270675469766217
GJ14,0.10890559179031165,0.5307273635359042,99.0,33.0,0.02010710784568411,7.858273375016982,2.1608430031020687,4.679762413180346,3.42073286401748,0.19106237099500634,0.16890679123906072,0.0011007966196256666,0.00013910901340434718,0.00011540420473134423
TWA7,0.12699406487492276,0.5545466949514153,90.0,90.0,0.024499064097014987,0.11607592566204736,0.3543288088427402,0.09250757059202934,3.58713588032421,0.04997664579885752,0.06829334980019697,0.04837100837061431,0.061947895568023006,0.022751586708008944
TYC93404371,0.19106714111869177,0.6231958792310363,130.0,100.0,0.04142271173995875,0.6374650789717017,2.7772232281221223,0.5821745687231474,3.3247229613832774,0.14205108433586755,0.21377953646250436,0.01368500062653338,0.009323054677716196,0.00436337259656158
HD128311,0.2876030513909923,0.7004377889298464,50.0,30.2,0.07007950185631502,4.158458260449137,4.299816175110092,3.2059020773486084,3.5,0.0,0.0,0.00033764363791314076,0.00023555814870650666,7.432119814536076e-05
HD23356,0.2980717879266437,0.7076295552561892,60.0,18.0,0.07337612694552736,5.7428708193320706,19.737105249272872,4.881246440040139,3.5,0.0,0.0,0.00015931647808560583,0.00012586752921812662,3.3266545176515534e-05
HD192263,0.30361275768364215,0.7113632632666922,85.7,15.6,0.07513449953405149,0.2636749517801477,0.9369477083644586,0.23349544964246513,3.5,0.0,0.0,0.0010229078072692167,0.0016842914709256944,0.0003978463795002282
HD22049,0.33689246589257615,0.7328203381664334,68.3,12.0,0.08588488942325068,0.5080887814913586,3.278834420881402,0.45741519460259106,3.1780652991061977,0.07071370537396993,0.12688204184953333,0.0005850063519659673,0.0003285324735984408,0.00015865636446147442
HD89452,0.36580267497170166,0.7502627652748516,69.7,35.4,0.09547468157171188,6.97809662090851,1.4041577838006551,3.1267102720725237,3.5,0.0,0.0,0.004705735663530855,0.0010044503380112358,0.0003137792239039693
HD92945,0.36737803588547424,0.7511845121873645,96.0,80.0,0.09600365360450891,5.950994098303923,1.5732550309911995,1.9597375123276373,3.821100817460539,0.12218471938088937,0.11613762469189748,0.007444684157165836,0.0009860439065688242,0.0006408018951329416
HD17925,0.39923079396849737,0.7692438083118197,25.0,8.0,0.10683559914155598,0.21318485456017594,6.889274439836945,0.18723850923524063,3.16264191655951,0.8361962500293676,0.27364507254381776,0.00039886139793154777,0.0004664768644108428,0.00015075989272485268
HD23484,0.4077762155901469,0.773912691669404,49.3,39.4,0.10978469712722469,4.372069483909907,2.4736627940689884,2.046486141055841,3.5,0.0,0.0,0.001066827908851859,0.00023079001079041005,0.0001392623491435419
HD158633,0.41525304836683413,0.7779407525184892,33.3,25.1,0.1123795529497094,5.292116501645614,2.653523615479333,3.0117604992739806,4.090596678268502,0.6188880491256383,0.5347359594290904,0.0002867370439356375,0.00010686302605404196,5.714953298132408e-05
HD131511,0.5172279709863037,0.8283137257174533,33.0,9.0,0.14904067508833327,7.2542020961811176,38.906646670191,7.109172615692761,3.5,0.0,0.0,6.300268850910673e-05,0.0002730267715617085,2.1872975735346473e-05
HD31392,0.5626984386189908,0.8484967884890643,126.4,103.8,0.16609396822070188,2.3466372931303536,0.9370742605189748,0.9651607153572996,3.5,0.0,0.0,0.0016678124224114334,0.00022940318727810317,0.00017729872943785473
HD53143,0.5876797531321019,0.859093054990182,88.4,23.0,0.17563411832009243,0.65637811783015,0.9785358322434057,0.5808249414482347,3.4116445127454096,0.09234354406342327,0.11934629148755027,0.0035001127783090215,0.002112487465318769,0.0007627623929227613
HD61005,0.6312859887097091,0.8768428343693925,72.6,38.0,0.19256433569464107,4.095074011464855,3.056749710089546,2.267833196251372,3.534260359500843,0.1749814944550745,0.1901956593895342,0.023236820169930644,0.006143106404337587,0.004824455923456299
HD166,0.6342328818455135,0.8780103675470509,27.3,13.5,0.1937208413524685,2.4879467319396484,2.478188512313828,1.22777707926242,3.810020578182913,0.2549022765436648,0.278760933261335,0.000850392013395265,0.00022209029620564376,0.000294802841383408
HD20794,0.646410032479815,0.8827941646474772,32.0,9.0,0.19851598828178676,0.5026240776791787,15.48804409769134,0.46813097243148377,3.5,0.0,0.0,6.33635153109015e-05,0.00020916200675229635,5.1329154388255905e-05
HD48370,0.7737549719244132,0.9293352599603971,88.3,37.1,0.2501519057939151,1.9275083119299676,31.74238592404489,1.7198226179378557,2.7247667941401494,0.5176213901240954,0.41412542681596953,0.0048045420481069145,0.001977527835453353,0.0012826645050519774
HD115617,0.8313161049695248,0.9485845688391554,47.0,36.0,0.2743280382102406,0.37261122567804317,3.9555282750778336,0.34078702502928415,3.0119045894693084,0.15168988480706558,0.138353374132687,0.0003317231118577618,0.00015883912079155387,8.360762807498831e-05
HD38858,0.8431355762896091,0.9524185222778717,110.0,80.0,0.27935290749024233,0.5367717843786612,3.094816506509739,0.5009457464509266,3.296313040025504,0.09226799354363457,0.18447729518377143,0.0012598141220886117,0.001034419857617423,0.00036207617276255526
HD30495,0.9705654060673106,0.9915001909714563,29.0,22.3,0.33476924900454524,3.7803195751493925,2.6135357579352805,1.825390106958743,3.5,0.0,0.0,0.0004482539268980975,0.00015370305286196512,9.122865270253346e-05
HD202628,0.9818364486128283,0.9947763953565399,155.4,16.0,0.33977589885196513,6.36185925890765,1.1611895195309092,1.708588676534995,3.75391425263016,0.08645369773371847,0.08213017624994334,0.0012156407698186242,0.0001167812524300127,7.410682661042854e-05
HD107146,0.9983317332296506,0.9995230680890682,107.2,110.0,0.3471327955514234,2.6790686125140297,1.4543269555821938,1.307138779494078,3.3643513662783766,0.09659953050974401,0.08926783066400112,0.01143881052967581,0.0018090508637514328,0.0014871428363049752
HD73350,1.0085623235873444,1.0024389336013184,100.4,84.6,0.35171315662612584,2.9878245865907624,3.039557831792642,1.349580432413708,3.5,0.0,0.0,0.00165262728159309,0.00042812086353770265,0.0003482624121704089
HD202206,1.075315055289797,1.0209634798305816,83.5,38.8,0.38192130184114914,6.268532773261206,1.9670991715226664,2.1898852252142973,3.5,0.0,0.0,0.0011600828087647683,0.00017307993624182346,9.857066671299067e-05
HD110897,1.1156503073242086,1.0317618228579446,63.9,35.7,0.4004381918729895,2.9853104130656725,3.1715263786658303,1.929642419923898,3.5,0.0,0.0,0.00032836025614850365,0.00017398761890872084,7.639636390741267e-05
HD377,1.175385232628588,1.047252713416685,80.0,20.0,0.428212827139048,11.04396377973827,39.937947440874666,10.018535578614822,3.51661872609326,0.7947325747528926,1.4896776480693243,0.0036979126144331296,0.0023236170287603847,0.0012831708655964705
HD45184,1.1760538396760405,1.0474228845767453,77.1,64.3,0.4285260331928329,2.2677999577416217,1.4942274214887203,0.9872839060725427,3.5,0.0,0.0,0.0010561134472063499,0.00022431845299831056,0.00018585408611318586
