Names,Fe/H,distance,SpType,Age,OneTempT1,OneTempLumL1,TwoTempT1,TwoTempL1,TwoTempT2,TwoTempL2,TotalFracLum,Ref,Observatory
HD176269,-1.49,153.37,B9V,...,...,...,...,...,...,...,...,18,IRAS
HD176363,-1,457.44,A2V,...,...,...,...,...,...,...,...,18,IRAS
HD177996,-0.56,33.05,K1V,300,...,4.70E-05,...,...,...,...,4.70E-05,4,ISO
HD178911B$^{p}$,...,49.43,G1V,2700,...,3.60E-05,...,...,...,...,3.60E-05,13,Spitzer
HD184006$^{g}$,...,37.2,A5V,430,...,...,...,...,...,...,...,62,Spitzer
HD184800,-0.37,331.61,A8/9V,...,...,...,...,...,...,...,...,18,IRAS
HD184960,-0.4,25.43,F7V,...,...,1.00E-04,...,...,...,...,1.00E-04,4,ISO
HD185507,0.15,240.63,B3V,...,...,...,...,...,...,...,...,26,IRAS
HD187085$^{p}$,-0.22,45.78,G0V,4280,...,1.80E-05,...,...,...,...,1.80E-05,13,Spitzer
HD187748,-0.36,27.44,G0,3200,...,...,...,...,...,...,...,19,AKARI
HD188324,-0.49,332.73,G5,...,87,1.79E-05,...,...,...,...,1.79E-05,28,Herschel
HD189567$^{p}$,-0.62,17.93,G2V,4500,...,...,...,...,...,...,...,25,Spitzer
HD190228$^{p}$,-0.49,62.9,G5IV,...,...,...,350,...,50,...,4.68E-04,11,WISE
HD190580,...,54.52,G3V,2800,...,...,...,...,...,...,...,19,AKARI
HD191408,...,6.01,K2.5V,10670,...,...,...,...,...,...,...," 45,13 ",Spitzer
HD191470,-0.22,269.18,F8,...,200,4.21E-04,...,...,...,...,4.21E-04,11,WISE
HD191499,-0.48,23.66,G9V,...,...,...,...,...,...,...,...,8,Spitzer
HD191849,-1.41,6.16,M0V,1000,...,...,...,...,...,...,...,25,Spitzer
HD193307,-0.73,31.22,F9V,9100,...,...,...,...,...,...,...,19,AKARI
HD197989,...,22.29,K0III,...,...,...,...,...,...,...,...,8,Spitzer
HD198739,-0.99,445.73,B8,...,81,1.18E-03,...,...,...,...,1.18E-03,12,AKARI
HD200800,0.14,126.71,A3V,...,...,...,...,...,...,...,...,21,Spitzer
HD200968,0,17.57,K1V,1250,...,...,...,...,...,...,...,8,Spitzer
HD201091,0.22,3.5,K5V,1400,...,...,...,...,...,...,...,26,IRAS
HD201469,...,692.95,B9,...,98,9.74E-04,...,...,...,...,9.74E-04,12,AKARI
HD202275,...,18.49,F7,4900,...,...,...,...,...,...,...,26,IRAS
HD202560,...,3.97,M1V,4780,...,...,...,...,...,...,...,25,Spitzer
HD202628$^{r}$,-0.48,23.79,G5V,1900,...,1.40E-04,...,...,...,...,1.40E-04,29,Spitzer
HD203608,-0.81,9.26,F9V,...,...,...,...,...,...,...,...,18,IRAS
HD206310,-0.64,165.17,F3V,...,...,...,...,...,...,...,...,18,IRAS
HD206374,-0.27,27.16,G6.5V,1000,...,3.16E-05,...,...,...,...,3.16E-05,46,Spitzer
HD207575,-0.36,46.76,F6V,30,...,...,...,...,...,...,...,29,Spitzer
HD208038,-0.2,23.24,K2.5V,182,...,1.90E-04,...,...,...,...,1.90E-04,8,Spitzer
HD210681,...,66.08,K0III,...,59,5.13E-04,...,...,...,...,5.13E-04," 5,61 ",IRAS
HD212097,...,221.23,B9III,...,...,...,...,...,...,...,...,48,IRAS
HD212283,-0.15,200.08,F3/5V,...,...,...,...,...,...,...,...,18,IRAS
HD212883,...,458.72,B2V,...,...,...,...,...,...,...,...,26,IRAS
HD213632,0.77,617.93,B9,...,69,1.09E-03,...,...,...,...,1.09E-03,12,AKARI
HD213976,...,485.37,B1.5V,...,53,4.14E-04,...,...,...,...,4.14E-04,12,AKARI
HD214953,-0.25,23.82,F9.5V,...,...,...,...,...,...,...,...,18,IRAS
HD215152$^{p}$,-0.07,21.58,K3V,4260,...,7.40E-05,...,...,...,...,7.40E-05,8,Spitzer
HD215592,-1.75,385.94,A0,...,...,...,...,...,...,...,...,19,AKARI
HD216803,-0.18,7.6,K4V,200,...,2.00E-06,...,...,...,...,2.00E-06," 20,13 ",Herschel
HD218203,-0.21,95.36,G5V,...,210,5.95E-04,...,...,...,...,5.95E-04,11,WISE
HD219634,-0.34,1565.19,B0V,...,...,...,...,...,...,...,...,26,IRAS
HD221354,-0.36,16.84,K0V,1500,...,...,...,...,...,...,...,21,Spitzer
HD222173,...,153.14,B8V,...,...,...,...,...,...,...,...,19,AKARI
HD223575,-0.77,254.45,G2V,...,500,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD223778,-0.45,10.9,K3V,...,...,...,...,...,...,...,...,8,Spitzer
HD223884$^{g}$,0.71,104.35,A5V,6,...,...,...,...,...,...,...,62,Spitzer
HD224392,-1.11,48.97,A1V,...,...,...,...,...,...,...,...,18,IRAS
HD224648,...,389.32,B9,...,103,5.32E-04,...,...,...,...,5.32E-04,12,AKARI
HD224953,...,15.33,K5,...,...,...,...,...,...,...,...,8,Spitzer
HD225132,-0.88,83.47,B9IV,...,...,...,...,...,...,...,...,19,AKARI
HD228583,-0.19,115.12,G0,...,300,5.40E-04,...,...,...,...,5.40E-04,11,WISE
HD228897A,0.21,68.5,...,...,195,1.27E-03,...,...,...,...,1.27E-03,11,WISE
HD232344,...,1803.75,B5,...,...,...,206,...,54,...,1.53E-02,12,AKARI
HD233517,...,867,K2,...,...,7.70E-02,...,...,...,...,7.70E-02,33,IRAS
HD269469,-0.33,99.28,K7,...,230,7.77E-04,...,...,...,...,7.77E-04,11,WISE
HD278507,-0.31,325.85,F8,...,195,1.01E-03,...,...,...,...,1.01E-03,11,WISE
HD278932,-0.61,291.56,G5,...,...,...,75,...,60,...,4.66E-03,11,WISE
HD279128,...,1252.98,B9,...,...,...,...,...,...,...,...,19,AKARI
HD281683,-0.69,159.46,F5,...,220,4.52E-04,...,...,...,...,4.52E-04,11,WISE
HD281691,-0.52,108.64,G8III,30,46,...,...,...,...,...,...,50,Spitzer
HD282965,-0.42,140.4,F9V,115,...,9.50E-06,...,...,...,...,9.50E-06,6,Spitzer
HD283759,-0.71,162.79,F2,...,70,9.94E-03,...,...,...,...,9.94E-03,11,WISE
HD308379,-0.88,184.11,F5,...,185,7.61E-04,...,...,...,...,7.61E-04,11,WISE
HD319139,-0.35,71.48,K5,...,...,...,200,...,80,...,1.65E-01,11,WISE
HD323410,-0.42,105.57,G0,...,215,4.70E-04,...,...,...,...,4.70E-04,11,WISE
HD330478,0.27,97.36,K5,...,220,1.84E-03,...,...,...,...,1.84E-03,11,WISE
HD340345,...,20.4,M1V,...,...,...,...,...,...,...,...,8,Spitzer
HD344593,...,397.47,K6,...,405,8.50E-03,...,...,...,...,8.50E-03,1,Spitzer
[PBB2002] USco J155706.4-220606,...,145.33,M4,...,240,3.99E-02,...,...,...,...,3.99E-02,11,WISE
2MASS J03450400+2515282,-0.08,134.62,...,115,54,2.90E-04,...,...,...,...,2.90E-04,1,Spitzer
2MASS J16101264-2104446,-0.48,154.63,K3IV,...,...,...,120,...,70,...,3.46E-01,11,WISE
2MASS J19074774+4249180,-0.32,429.3,G5V,...,293,8.26E-04,...,...,...,...,8.26E-04,2,WISE
2MASS J19155620+4302219,-0.42,851.43,G2V,...,280,9.60E-04,...,...,...,...,9.60E-04,2,WISE
2MASS J19241744+4742588,-0.11,686.72,...,...,341,1.66E-03,...,...,...,...,1.66E-03,2,WISE
2MASS J19370349+4943586,-0.42,496.08,G5,...,336,1.35E-03,...,...,...,...,1.35E-03,2,WISE
2MASS J19421478+4838417,-0.23,479.09,...,...,265,2.64E-03,...,...,...,...,2.64E-03,2,WISE
Ass Cha T 2-21,...,178.04,G5V,...,...,2.50E-02,...,...,...,...,2.50E-02,4,ISO
Ass Cha T 2-54,...,191.2,G8,...,...,1.30E-02,...,...,...,...,1.30E-02,4,ISO
BD+00 3170,...,855.8,K2,...,500,5.10E-04,...,...,...,...,5.10E-04,1,Spitzer
BD+14 466,0.05,67.34,K0,...,52,7.56E-04,...,...,...,...,7.56E-04," 5,61 ",IRAS
BD+19 605,-0.34,143.31,...,115,...,6.30E-05,...,...,...,...,6.30E-05,6,Spitzer
BD+21 2486,-0.96,18.8,K4V,...,58,1.40E-04,...,...,...,...,1.40E-04,1,Spitzer
BD+21 504,-0.27,127.48,G0,115,...,1.00E-05,...,...,...,...,1.00E-05,6,Spitzer
BD+21 508,-0.29,134.99,F8,115,...,2.40E-05,...,...,...,...,2.40E-05,6,Spitzer
BD+22 521,-0.14,135.35,F8,115,...,1.50E-05,...,...,...,...,1.50E-05,6,Spitzer
BD+22 553,-0.28,152.28,...,115,...,1.60E-05,...,...,...,...,1.60E-05,6,Spitzer
BD+23 3151,...,22.16,M0.5V,...,...,...,...,...,...,...,...,8,Spitzer
BD+28 4660,-0.51,19.91,K6V,150,...,1.90E-04,...,...,...,...,1.90E-04,8,Spitzer
BD+39 2801,...,23.95,K7V,...,...,1.60E-04,...,...,...,...,1.60E-04,8,Spitzer
BD+40 2208,-0.05,32.51,K4V,...,90,...,...,...,...,...,...,9,Spitzer
BD+42 3926,-0.45,179.21,G0V,...,235,1.02E-03,...,...,...,...,1.02E-03,11,WISE
BD+45 598$^{r}$,-0.48,73.27,K0,23,...,6.00E-04,...,...,...,...,6.00E-04,63,IRAS
BD+60 854,...,317.37,F0,...,260,7.19E-04,...,...,...,...,7.19E-04,11,WISE
BD+65 1531,-0.04,333.5,G5,...,75,1.99E-03,...,...,...,...,1.99E-03,11,WISE
BD+67 167,-0.49,313.43,B8,...,136,4.89E-04,...,...,...,...,4.89E-04,12,AKARI
BD-04 3234,-0.12,244.33,...,150,680,1.00E-02,...,...,...,...,1.00E-02,3,WISE
BD-07 4003$^{pr}$,-0.85,6.3,M3V,...,...,1.20E-05,...,...,...,...,1.20E-05,13,Spitzer
BD-20 951,...,62.16,...,...,33,2.20E-04,...,...,...,...,2.20E-04,15,Herschel
CD-25 8020,0.01,90.35,...,...,240,5.11E-04,...,...,...,...,5.11E-04,11,WISE
CD-29 5938,-1,1588.56,B8,...,86,1.35E-02,...,...,...,...,1.35E-02,12,AKARI
CD-30 19671,-0.65,903.1,G2,...,500,1.10E-04,...,...,...,...,1.10E-04,1,Spitzer
CD-32 11389,...,22.02,K8V,...,...,...,...,...,...,...,...,8,Spitzer
CD-34 7390A,-0.38,59.85,M1V,10,...,8.60E-04,...,...,...,...,8.60E-04,16,Spitzer
CD-34 7390B,...,59.83,M1V,10,...,8.90E-04,...,...,...,...,8.90E-04,16,Spitzer
CD-35 10514,-0.26,163.95,F5,...,240,3.98E-04,...,...,...,...,3.98E-04,11,WISE
CD-48 3537,-0.58,384.36,A3IV,25,...,...,...,...,...,...,...,17,Spitzer
CD-48 3539,-0.56,386.13,A0,25,...,...,...,...,...,...,...,17,Spitzer
CD-48 3540,-0.16,387.52,...,25,...,...,...,...,...,...,...,17,Spitzer
CD-48 3541,...,388.18,...,25,...,...,...,...,...,...,...,17,Spitzer
CD-48 3563,-0.47,395.13,...,25,...,...,...,...,...,...,...,17,Spitzer
CD-48 3575,-0.49,383.94,...,30,97,2.50E-04,...,...,...,...,2.50E-04,1,Spitzer
CD-48 3578,-0.46,388.97,...,25,...,...,...,...,...,...,...,17,Spitzer
CD-49 3371,-0.59,379.36,...,25,...,...,...,...,...,...,...,17,Spitzer
CD-49 3390,-1.07,590.01,...,30,45,2.50E-01,...,...,...,...,2.50E-01,1,Spitzer
CD-49 3972,-0.41,138.35,F5,...,210,7.24E-04,...,...,...,...,7.24E-04,11,WISE
CD-54 5780,-0.41,116.29,K1V,...,240,1.48E-03,...,...,...,...,1.48E-03,11,WISE
CD-54 7336,-0.64,67.61,K1V,...,122,2.20E-04,...,...,...,...,2.20E-04,15,Herschel
CD-57 4849,-0.38,128.97,...,...,250,4.09E-04,...,...,...,...,4.09E-04,11,WISE
CD-60 1960,-1.11,405.81,A0V,150,...,...,...,...,...,...,...,17,Spitzer
CD-60 1979,...,405.07,A3V,150,...,...,...,...,...,...,...,17,Spitzer
CD-60 2007,-0.32,406.19,...,150,204,7.60E-05,...,...,...,...,7.60E-05,1,Spitzer
CD-60 2021,-0.8,408.98,...,150,...,...,...,...,...,...,...,17,Spitzer
CD-61 3770,...,563.38,K2,...,240,9.50E-04,...,...,...,...,9.50E-04,11,WISE
CD-62 668,0.03,82.65,...,...,190,8.68E-04,...,...,...,...,8.68E-04,11,WISE
CD-75 392,-0.42,102.55,G9V,...,...,6.90E-04,...,...,...,...,6.90E-04,4,ISO
CD-76 483,-0.86,184.08,A9V,...,170,1.06E-03,...,...,...,...,1.06E-03,11,WISE
CPD-35 525,0.09,78.13,...,...,250,7.45E-04,...,...,...,...,7.45E-04,11,WISE
CPD-48 1496,-0.54,383.16,...,30,137,2.60E-04,...,...,...,...,2.60E-04,1,Spitzer
CPD-60 956,-0.29,398.85,...,150,...,...,...,...,...,...,...,17,Spitzer
CPD-60 986,...,417.14,...,150,146,6.20E-05,...,...,...,...,6.20E-05,1,Spitzer
G 221-24,...,19.11,M2V,...,...,...,...,...,...,...,...,8,Spitzer
HD10476,-0.31,7.64,K1V,11270,...,...,...,...,...,...,...,21,Spitzer
HD196885$^{p}$,-0.27,34,F8V,...,24,2.80E-06,...,...,...,...,2.80E-06,58,Herschel
HD202444,...,20.34,F2IV,...,294,1.80E-05,...,...,...,...,1.80E-05,58,Herschel
HD21242,...,50.55,K0IV,...,527,6.20E-04,...,...,...,...,6.20E-04,58,Herschel
HD282954,-0.37,135.01,...,115,...,...,252,1.40E-04,54,3.50E-04,4.90E-04,1,Spitzer
HD284135,...,...,G3V,7,500,1.90E-04,...,...,...,...,1.90E-04,1,Spitzer
HIP 17020,-0.29,139.66,...,115,...,1.70E-05,...,...,...,...,1.70E-05,6,Spitzer
IRAS 16051-3820,0.04,153.42,K2,...,90,1.31E-01,...,...,...,...,1.31E-01,11,WISE
LSPM J2015+4803,-0.05,66.4,...,...,235,2.50E-05,...,...,...,...,2.50E-05,11,WISE
Ross 128$^{p}$,-0.2,3.37,M4,...,...,...,...,...,...,...,...,21,Spitzer
RX J2115.4+4437,-0.13,329.12,K0IV,...,250,6.86E-04,...,...,...,...,6.86E-04,11,WISE
Sz 4,...,...,M4V,...,...,2.40E-02,...,...,...,...,2.40E-02,4,ISO
TYC 1112-317-1,-0.19,82.29,...,...,245,1.09E-03,...,...,...,...,1.09E-03,11,WISE
TYC 1113-1057-1,...,241.96,...,...,250,8.39E-04,...,...,...,...,8.39E-04,11,WISE
TYC 1531-383-1,-0.27,59.03,...,...,500,4.00E-04,...,...,...,...,4.00E-04,1,Spitzer
TYC 2278-834-1,-0.43,366.85,...,...,260,6.19E-04,...,...,...,...,6.19E-04,11,WISE
TYC 2666-851-1,0.39,485.6,...,...,484,1.95E-03,...,...,...,...,1.95E-03,2,WISE
TYC 2678-2088-1,-0.17,321.26,K0V,...,195,5.20E-05,...,...,...,...,5.20E-05,11,WISE
TYC 2679-1864-1,...,69.03,...,...,200,2.95E-04,...,...,...,...,2.95E-04,11,WISE
TYC 2698-1078-1,...,132.74,...,...,190,1.60E-03,...,...,...,...,1.60E-03,11,WISE
TYC 3531-1441-1,0.14,112.23,...,...,270,8.35E-04,...,...,...,...,8.35E-04,11,WISE
TYC 3593-4938-1,0.42,61.17,...,...,190,1.22E-03,...,...,...,...,1.22E-03,11,WISE
TYC 3706-340-1,-0.31,198.84,...,...,185,7.87E-04,...,...,...,...,7.87E-04,11,WISE
TYC 4209-1322-1,-0.15,274.24,...,275,530,7.00E-02,...,...,...,...,7.00E-02,3,WISE
TYC 4479-3-1,-0.34,162.81,...,5000,400,1.40E-02,...,...,...,...,1.40E-02,3,WISE
TYC 4515-485-1,-0.3,280.59,...,150,500,1.50E-02,...,...,...,...,1.50E-02,3,WISE
TYC 5103-27-1,-0.3,309.8,...,...,195,5.60E-05,...,...,...,...,5.60E-05,11,WISE
TYC 5549-1004-1,-0.19,1341.56,...,...,240,1.18E-03,...,...,...,...,1.18E-03,11,WISE
TYC 5940-1510-1,-0.09,264.3,...,120,420,3.70E-02,...,...,...,...,3.70E-02,3,WISE
TYC 7402-1806-1,0.04,105.99,...,...,500,1.70E-04,...,...,...,...,1.70E-04,1,Spitzer
TYC 8105-370-1,0.08,184.82,...,130,300,5.20E-02,...,...,...,...,5.20E-02,3,WISE
TYC 8327-1661-1,0.01,247.67,...,...,190,1.83E-03,...,...,...,...,1.83E-03,11,WISE
TYC 8653-1256-1,...,889.52,...,...,280,1.38E-03,...,...,...,...,1.38E-03,11,WISE
TYC 8830-410-1,0.35,158.61,...,...,425,1.90E-02,...,...,...,...,1.90E-02,11,WISE
TYC 8850-1468-1,-0.24,1225.34,...,...,185,1.53E-03,...,...,...,...,1.53E-03,11,WISE
TYC 8962-532-1,-0.61,303.03,...,...,260,1.25E-03,...,...,...,...,1.25E-03,11,WISE
TYC 8981-4034-1,...,836.4,...,...,230,3.58E-03,...,...,...,...,3.58E-03,11,WISE
TYC 8991-3324-1,...,921.57,...,...,205,1.57E-03,...,...,...,...,1.57E-03,11,WISE
TYC 9385-93-1,...,394.52,...,...,255,6.44E-04,...,...,...,...,6.44E-04,11,WISE
V* CE Ant$^{gr}$,...,34.1,M2V,10,...,2.00E-03,...,...,...,...,2.00E-03,16,Spitzer
V* EK Cha,0.13,98.5,...,...,140,8.76E-02,...,...,...,...,8.76E-02,11,WISE
V* HP Cha A,-0.59,187.33,K6,...,...,4.12E-01,...,...,...,...,4.12E-01,4,ISO
V* SZ Cha,...,190.21,K0,...,...,9.10E-02,...,...,...,...,9.10E-02,4,ISO
V* TW Cha,-4.08,183.12,K8V,...,...,4.80E-02,...,...,...,...,4.80E-02,4,ISO
V* UZ Cha,-1.58,193.87,K8V,...,...,3.20E-02,...,...,...,...,3.20E-02,4,ISO
V* V1249 Cen$^{r}$,...,53.6,M0.5,13,...,...,...,...,...,...,...,54,WISE
V* V416 Car,-0.53,410.04,A3V,150,...,...,...,...,...,...,...,17,Spitzer
V* V417 Car,...,439.68,A6V,150,...,...,...,...,...,...,...,17,Spitzer
V* V471 Tau,-0.06,47.59,K2V,...,69,1.40E-04,...,...,...,...,1.40E-04,58,Herschel
V* V816 Tau,-0.46,136.08,K0V,...,...,9.34E-03,...,...,...,...,9.34E-03,4,ISO
V* V963 Tau,0.04,132.89,G5V,115,...,1.30E-05,...,...,...,...,1.30E-05,6,Spitzer
V* WX Cha,...,190.55,M1,...,...,2.24E-01,...,...,...,...,2.24E-01,4,ISO
V* WY Cha,-1.75,174.5,K8V,...,...,7.20E-02,...,...,...,...,7.20E-02,4,ISO
V* XX Cha,-1.18,192.09,M3V,...,...,5.50E-02,...,...,...,...,5.50E-02,4,ISO
