Names,Fe/H,distance,SpType,Age,OneTempT1,OneTempLumL1,TwoTempT1,TwoTempL1,TwoTempT2,TwoTempL2,TotalFracLum,Ref,Observatory
HD33949,...,223.21,B7V,120,...,...,...,...,...,...,...,21,Spitzer
HD34233,0.46,312.63,B5V,...,...,...,...,...,...,...,...,26,IRAS
HD34282,...,308.61,B9.5V,...,...,3.90E-01,...,...,...,...,3.90E-01,33,IRAS
HD34700,-0.67,350.48,G0IV,...,...,1.50E-01,...,...,...,...,1.50E-01,33,IRAS
HD34751,0,20.42,K6V,...,...,...,...,...,...,...,...,8,Spitzer
HD34890,...,386.26,B9IV/V,...,...,...,...,...,...,...,...,19,AKARI
HD35187,...,114.16,A2,...,...,1.40E-01,...,...,...,...,1.40E-01,33,IRAS
HD35532,-1.05,336.3,B2V,...,...,...,...,...,...,...,...,26,IRAS
HD35671,...,197.47,B5V,...,...,...,...,...,...,...,...,26,IRAS
HD35996,-0.49,92.1,F3/5IV/V,...,135,1.00E-04,...,...,...,...,1.00E-04,15,Herschel
HD36267,0.21,92.85,B5IV,1,...,...,...,...,...,...,...,21,Spitzer
HD36695,0.75,441.42,B1V,...,...,...,...,...,...,...,...,26,IRAS
HD37394,-0.29,12.27,K1,851,...,...,...,...,...,...,...,23,Spitzer
HD38385,-0.6,53.03,F3V,...,...,...,...,...,...,...,...,18,IRAS
HD38402,...,343.91,B8,...,85,7.69E-04,...,...,...,...,7.69E-04,12,AKARI
HD38905,-0.04,138.98,F6/7V,...,...,...,...,...,...,...,...,18,IRAS
HD39014,-0.94,45.87,A7V,590,...,...,...,...,...,...,...,21,Spitzer
HD39415,...,351.21,F5V,...,...,...,...,...,...,...,...,19,AKARI
HD39944,-0.59,143.73,G1V,...,...,...,...,...,...,...,...,18,IRAS
HD40932,...,47.51,A1V,670,...,...,...,...,...,...,...,21,Spitzer
HD40979$^{p}$,-0.31,33.98,F8,2700,...,1.20E-05,...,...,...,...,1.20E-05,13,Spitzer
HD41511,...,279.78,A3,...,...,...,...,...,...,...,...,26,IRAS
HD41742,-0.62,27.95,F5.5V,...,...,...,...,...,...,...,...,18,IRAS
HD41814,...,361.77,B3V,17,...,...,...,...,...,...,...,21,Spitzer
HD42111,...,177.53,B9V,0,...,1.00E-05,...,...,...,...,1.00E-05,55,Spitzer
HD42137,...,369.55,K3/4V,...,...,...,...,...,...,...,...,18,IRAS
HD43162,-0.05,16.7,G6.5V,282,...,1.00E-05,...,...,...,...,1.00E-05,2313,Spitzer
HD43954,...,308.9,A0V,...,...,...,...,...,...,...,...,18,IRAS
HD43955,0.01,285.94,B2/3V,...,...,...,...,...,...,...,...,18,IRAS
