0.000000000000000000e+00 0.000000000000000000e+00
1.034482758620689641e-01 2.958327514268332788e-08
2.068965517241379282e-01 2.728322484910855397e-08
3.103448275862069061e-01 2.506518557234397661e-08
4.137931034482758563e-01 2.310993267164888068e-08
5.172413793103448620e-01 2.138495309384919335e-08
6.206896551724138122e-01 1.985881932167857048e-08
7.241379310344827624e-01 1.850252252448828694e-08
8.275862068965517127e-01 1.729154205179609766e-08
9.310344827586205518e-01 1.620581857428095107e-08
1.034482758620689724e+00 1.522807218926333689e-08
1.137931034482758674e+00 1.434414659820918012e-08
1.241379310344827624e+00 1.354195296583383718e-08
1.344827586206896353e+00 1.281123912296962256e-08
1.448275862068965525e+00 1.214384508068458626e-08
1.551724137931034475e+00 1.153214668609997831e-08
1.655172413793103425e+00 1.097005908052143573e-08
1.758620689655172376e+00 1.045187128232445748e-08
1.862068965517241104e+00 9.973236418965200321e-09
1.965517241379310276e+00 9.529913837257785395e-09
2.068965517241379448e+00 9.118323988335198301e-09
2.172413793103448398e+00 8.735552562793633691e-09
2.275862068965517349e+00 8.378886788279327607e-09
2.379310344827586299e+00 8.045636512220501323e-09
2.482758620689655249e+00 7.733968940632276341e-09
2.586206896551724199e+00 7.441807760127793117e-09
2.689655172413792705e+00 7.167578352798171343e-09
2.793103448275862100e+00 6.909791670874803649e-09
2.896551724137931050e+00 6.667096966460236295e-09
3.000000000000000000e+00 6.438238549109421208e-09
